NR band;Alias;Mode;DeltaF;Step;F dl_low (MHz);F dl_high (MHz);N dl low;N dl high;F ul_low (MHz);F ul_high (MHz);N ul low;N ul high;Arfcn range;Bandwidth (MHz);Duplex spacing (MHz);3GPP Release
n82;UL n20;SUL;100;20;;;;;832;862;166400;172400;6000;30;;15.0;15;5;10;15;20;;;;;;;;;;30;;10;15;20;;;;;;;;;;60;;;;;;;;;;;;;;
n83;UL n28;SUL;100;20;;;;;703;748;140600;149600;9000;45;;15.0;15;5;10;15;20;;30;40;;;;;;;30;;10;15;20;;30;40;;;;;;;60;;;;;;;;;;;;;;
n84;UL n1;SUL;100;20;;;;;1920;1980;384000;396000;12000;60;;15.0;15;5;10;15;20;25;30;40;50;;;;;;30;;10;15;20;25;30;40;50;;;;;;60;;10;15;20;25;30;40;50;;;;;;
n85;700 a+;FDD;100;20;728;746;145600;149200;698;716;139600;143200;3600;18;30;17.2;15;5;10;15;;;;;;;;;;;30;;10;15;;;;;;;;;;;60;;;;;;;;;;;;;;
n86;UL n66;SUL;100;20;;;;;1710;1780;342000;356000;14000;70;;15.2;15;5;10;15;20;;;40;;;;;;;30;;10;15;20;;;40;;;;;;;60;;10;15;20;;;40;;;;;;;
n89;UL n5;SUL;100;20;;;;;824;849;164800;169800;5000;25;;16.1;15;5;10;15;20;;;;;;;;;;30;;10;15;20;;;;;;;;;;60;;;;;;;;;;;;;;
n90;TD 2600+;TDD;15;3;2496;2690;499200;537999;2496;2690;499200;537999;38799;194;;16.0;15;;10;15;20;;30;40;50;;;;;;30;;10;15;20;;30;40;50;60;70;80;90;100;60;;10;15;20;;30;40;50;60;70;80;90;100;
n90;TD 2600+;TDD;30;6;2496;2690;499200;537996;2496;2690;499200;537996;38796;194;;16.0;15;;10;15;20;;30;40;50;;;;;;30;;10;15;20;;30;40;50;60;70;80;90;100;60;;10;15;20;;30;40;50;60;70;80;90;100;
n90;TD 2600+;TDD;100;20;2496;2690;499200;538000;2496;2690;499200;538000;38800;194;;16.0;15;;10;15;20;;30;40;50;;;;;;30;;10;15;20;;30;40;50;60;70;80;90;100;60;;10;15;20;;30;40;50;60;70;80;90;100;
n91;FD 1500-;FDD;100;20;1427;1432;285400;286400;832;862;166400;172400;1000/6000;5/30;595;16.2;15;5;10;;;;;;;;;;;;30;;;;;;;;;;;;;;60;;;;;;;;;;;;;;
n92;FD 1500+;FDD;100;20;1432;1517;286400;303400;832;862;166400;172400;17000/6000;85/30;600;16.2;15;5;10;15;20;;;;;;;;;;30;;10;15;20;;;;;;;;;;60;;;;;;;;;;;;;;
n93;FD 1500-;FDD;100;20;1427;1432;285400;286400;880;915;176000;183000;1000/7000;5/35;547;16.2;15;5;10;;;;;;;;;;;;30;;;;;;;;;;;;;;60;;;;;;;;;;;;;;
n94;FD 1500+;FDD;100;20;1432;1517;286400;303400;880;915;176000;183000;17000/7000;85/35;552;16.2;15;5;10;15;20;;;;;;;;;;30;;10;15;20;;;;;;;;;;60;;;;;;;;;;;;;;
n95;UL n34;SUL;100;20;;;;;2010;2025;402000;405000;3000;15;;16.2;15;5;10;15;;;;;;;;;;;30;;10;15;;;;;;;;;;;60;;10;15;;;;;;;;;;;
n96;TD 6500;TDD;15;1;5925;7125;795000;875000;5925;7125;795000;875000;80000;1200;;16.5;15;;;;20;;;40;;;;;;;30;;;;20;;;40;;60;;80;;;60;;;;20;;;40;;60;;80;;;
n97;UL n40;SUL;100;20;;;;;2300;2400;460000;480000;20000;100;;17.0;15;5;10;15;20;25;30;40;50;;;;;;30;;10;15;20;25;30;40;50;60;;80;;100;60;;10;15;20;25;30;40;50;60;;80;;100;
n98;UL n39;SUL;100;20;;;;;1880;1920;376000;384000;8000;40;;17.0;15;5;10;15;20;25;30;40;;;;;;;30;;10;15;20;25;30;40;;;;;;;60;;10;15;20;25;30;40;;;;;;;
n99;UL n24;SUL;100;20;;;;;1626.5;1660.5;325300;332100;6800;34;;17.1;15;5;10;;;;;;;;;;;;30;;10;;;;;;;;;;;;60;;10;;;;;;;;;;;;
NR band;Alias;Mode;DeltaF;Step;F dl_low (MHz);F dl_high (MHz);N dl low;N dl high;F ul_low (MHz);F ul_high (MHz);N ul low;N ul high;Arfcn range;Bandwidth (MHz);Duplex spacing (MHz);3GPP Release
n257;28 GHz;TDD;60;1;26500;29500;2054166;2104165;26500;29500;2054166;2104165;49999;3000;;15.1;60;50;100;200;;120;50;100;200;400;
n257;28 GHz;TDD;120;2;26500;29500;2054167;2104165;26500;29500;2054167;2104165;49998;3000;;15.1;60;50;100;200;;120;50;100;200;400;
